FIPS,County,State,2016_DeathRateType,2016_Drug_Poison_Rate,2016_Population,2015_DeathRateType,2015_Drug_Poison_Rate,2015_Population,2014_DeathRateType,2014_Drug_Poison_Rate,2014_Population
1001.0,Autauga County,AL,3.0,10.95,36350.0,3.0,10.95,36326.0,3.0,10.95,36389.0
1003.0,Baldwin County,AL,1.0,20.8,130198.0,1.0,29.8,127922.0,1.0,29.8,126179.0
1005.0,Barbour County,AL,3.0,6.95,16771.0,3.0,6.95,17239.0,3.0,6.95,17636.0
1007.0,Bibb County,AL,3.0,16.95,15323.0,3.0,14.95,15395.0,3.0,14.95,15315.0
1009.0,Blount County,AL,2.0,32.95,36422.0,2.0,30.03,36626.0,2.0,29.94,36737.0
1011.0,Bullock County,AL,3.0,10.95,6825.0,3.0,8.95,7196.0,3.0,8.95,7225.0
1013.0,Butler County,AL,3.0,10.95,12335.0,3.0,10.95,12579.0,3.0,8.95,12688.0
1015.0,Calhoun County,AL,2.0,18.7,74862.0,1.0,28.6,75856.0,2.0,23.58,76342.0
1017.0,Chambers County,AL,3.0,12.95,21485.0,3.0,12.95,21795.0,3.0,10.95,21830.0
1019.0,Cherokee County,AL,3.0,16.95,16021.0,3.0,16.95,16092.0,3.0,14.95,16274.0
1021.0,Chilton County,AL,3.0,18.95,28137.0,3.0,16.95,28214.0,3.0,16.95,28323.0
1023.0,Choctaw County,AL,3.0,10.95,8029.0,3.0,10.95,8205.0,3.0,8.95,8347.0
1025.0,Clarke County,AL,3.0,8.95,15459.0,3.0,8.95,15753.0,3.0,6.95,15940.0
1027.0,Clay County,AL,3.0,12.95,8475.0,3.0,10.95,8559.0,3.0,10.95,8591.0
1029.0,Cleburne County,AL,3.0,16.95,9302.0,3.0,14.95,9381.0,3.0,14.95,9410.0
1031.0,Coffee County,AL,3.0,8.95,32884.0,3.0,8.95,33066.0,3.0,8.95,32948.0
1033.0,Colbert County,AL,3.0,8.95,34402.0,3.0,8.95,34620.0,3.0,6.95,34760.0
1035.0,Conecuh County,AL,3.0,18.95,7593.0,3.0,18.95,7787.0,3.0,16.95,7844.0
1037.0,Coosa County,AL,3.0,12.95,6972.0,3.0,12.95,7095.0,3.0,10.95,7270.0
1039.0,Covington County,AL,3.0,8.95,23031.0,3.0,8.95,23395.0,3.0,8.95,23498.0
1041.0,Crenshaw County,AL,3.0,12.95,8683.0,3.0,12.95,8796.0,3.0,10.95,8840.0
1043.0,Cullman County,AL,2.0,36.44,52140.0,2.0,28.75,52172.0,1.0,50.8,51852.0
1045.0,Dale County,AL,3.0,12.95,31838.0,3.0,12.95,32091.0,3.0,10.95,32131.0
1047.0,Dallas County,AL,3.0,8.95,25263.0,3.0,8.95,25933.0,3.0,6.95,26533.0
1049.0,DeKalb County,AL,2.0,37.71,45084.0,2.0,41.92,45325.0,3.0,12.95,45298.0
1051.0,Elmore County,AL,3.0,6.95,54537.0,3.0,6.95,54501.0,3.0,6.95,54228.0
1053.0,Escambia County,AL,3.0,22.95,24318.0,3.0,22.95,24447.0,2.0,49.03,24477.0
1055.0,Etowah County,AL,2.0,19.74,65848.0,1.0,33.2,66409.0,2.0,26.88,66973.0
1057.0,Fayette County,AL,3.0,18.95,10277.0,3.0,18.95,10453.0,3.0,16.95,10593.0
1059.0,Franklin County,AL,3.0,18.95,20102.0,3.0,18.95,20139.0,3.0,16.95,20132.0
1061.0,Geneva County,AL,3.0,10.95,16495.0,3.0,10.95,16641.0,3.0,8.95,16630.0
1063.0,Greene County,AL,3.0,8.95,5195.0,3.0,8.95,5278.0,3.0,6.95,5376.0
1065.0,Hale County,AL,3.0,6.95,9287.0,3.0,6.95,9555.0,3.0,4.95,9710.0
1067.0,Henry County,AL,3.0,10.95,10503.0,3.0,10.95,10603.0,3.0,8.95,10668.0
1069.0,Houston County,AL,3.0,10.95,66591.0,2.0,17.97,66764.0,2.0,17.94,66886.0
1071.0,Jackson County,AL,3.0,10.95,33119.0,3.0,10.95,33318.0,3.0,8.95,33548.0
1073.0,Jefferson County,AL,1.0,46.1,433531.0,1.0,38.2,436628.0,1.0,38.8,438375.0
1075.0,Lamar County,AL,3.0,14.95,8562.0,3.0,14.95,8556.0,3.0,12.95,8700.0
1077.0,Lauderdale County,AL,2.0,18.46,59592.0,3.0,10.95,59958.0,3.0,8.95,60521.0
1079.0,Lawrence County,AL,3.0,16.95,21410.0,3.0,14.95,21462.0,3.0,14.95,21821.0
1081.0,Lee County,AL,3.0,6.95,113284.0,2.0,15.13,112356.0,2.0,9.03,110777.0
1083.0,Limestone County,AL,3.0,8.95,61896.0,3.0,8.95,61267.0,3.0,6.95,60780.0
1085.0,Lowndes County,AL,3.0,8.95,6468.0,3.0,6.95,6572.0,3.0,6.95,6673.0
1087.0,Macon County,AL,3.0,8.95,12857.0,3.0,6.95,12957.0,3.0,6.95,13307.0
1089.0,Madison County,AL,1.0,25.6,240847.0,1.0,17.9,238923.0,1.0,9.5,237858.0
1091.0,Marengo County,AL,3.0,6.95,12115.0,3.0,4.95,12359.0,3.0,4.95,12563.0
1093.0,Marion County,AL,3.0,8.95,18715.0,3.0,8.95,18876.0,3.0,6.95,18955.0
1095.0,Marshall County,AL,2.0,20.14,59583.0,1.0,39.4,59687.0,1.0,37.4,59919.0
1097.0,Mobile County,AL,1.0,22.8,269985.0,1.0,25.4,271378.0,1.0,20.6,271980.0
1099.0,Monroe County,AL,3.0,10.95,13619.0,3.0,10.95,13816.0,3.0,10.95,13927.0
1101.0,Montgomery County,AL,2.0,9.95,150689.0,2.0,9.98,150309.0,2.0,12.63,150437.0
1103.0,Morgan County,AL,2.0,14.33,76743.0,1.0,30.5,77440.0,2.0,15.44,77731.0
1105.0,Perry County,AL,3.0,8.95,6093.0,3.0,6.95,6158.0,3.0,6.95,6252.0
1107.0,Pickens County,AL,3.0,14.95,13355.0,3.0,12.95,13824.0,3.0,12.95,13353.0
1109.0,Pike County,AL,3.0,8.95,23098.0,3.0,8.95,22860.0,3.0,8.95,23345.0
