FIPS,County,State,2016_DeathRateType,2016_Drug_Poison_Rate,2016_Population,2015_DeathRateType,2015_Drug_Poison_Rate,2015_Population,2014_DeathRateType,2014_Drug_Poison_Rate,2014_Population
1001.0,Autauga County,AL,4.0,,36350.0,4.0,,36326.0,4.0,,36389.0
1003.0,Baldwin County,AL,2.0,11.52,130198.0,2.0,14.85,127922.0,2.0,12.68,126179.0
1005.0,Barbour County,AL,4.0,,16771.0,4.0,,17239.0,4.0,,17636.0
1007.0,Bibb County,AL,4.0,,15323.0,4.0,,15395.0,4.0,,15315.0
1009.0,Blount County,AL,4.0,,36422.0,2.0,30.03,36626.0,4.0,,36737.0
1011.0,Bullock County,AL,4.0,,6825.0,4.0,,7196.0,4.0,,7225.0
1013.0,Butler County,AL,4.0,,12335.0,4.0,,12579.0,4.0,,12688.0
1015.0,Calhoun County,AL,4.0,,74862.0,4.0,,75856.0,4.0,,76342.0
1017.0,Chambers County,AL,4.0,,21485.0,4.0,,21795.0,4.0,,21830.0
1019.0,Cherokee County,AL,4.0,,16021.0,4.0,,16092.0,4.0,,16274.0
1021.0,Chilton County,AL,4.0,,28137.0,4.0,,28214.0,4.0,,28323.0
1023.0,Choctaw County,AL,4.0,,8029.0,4.0,,8205.0,4.0,,8347.0
1025.0,Clarke County,AL,4.0,,15459.0,4.0,,15753.0,4.0,,15940.0
1027.0,Clay County,AL,4.0,,8475.0,4.0,,8559.0,4.0,,8591.0
1029.0,Cleburne County,AL,4.0,,9302.0,4.0,,9381.0,4.0,,9410.0
1031.0,Coffee County,AL,4.0,,32884.0,4.0,,33066.0,4.0,,32948.0
1033.0,Colbert County,AL,4.0,,34402.0,4.0,,34620.0,4.0,,34760.0
1035.0,Conecuh County,AL,4.0,,7593.0,4.0,,7787.0,4.0,,7844.0
1037.0,Coosa County,AL,4.0,,6972.0,4.0,,7095.0,4.0,,7270.0
1039.0,Covington County,AL,4.0,,23031.0,4.0,,23395.0,4.0,,23498.0
1041.0,Crenshaw County,AL,4.0,,8683.0,4.0,,8796.0,4.0,,8840.0
1043.0,Cullman County,AL,2.0,24.93,52140.0,4.0,,52172.0,4.0,,51852.0
1045.0,Dale County,AL,4.0,,31838.0,4.0,,32091.0,4.0,,32131.0
1047.0,Dallas County,AL,4.0,,25263.0,4.0,,25933.0,4.0,,26533.0
1049.0,DeKalb County,AL,4.0,,45084.0,4.0,,45325.0,4.0,,45298.0
1051.0,Elmore County,AL,4.0,,54537.0,4.0,,54501.0,4.0,,54228.0
1053.0,Escambia County,AL,4.0,,24318.0,4.0,,24447.0,4.0,,24477.0
1055.0,Etowah County,AL,4.0,,65848.0,4.0,,66409.0,4.0,,66973.0
1057.0,Fayette County,AL,4.0,,10277.0,4.0,,10453.0,4.0,,10593.0
1059.0,Franklin County,AL,4.0,,20102.0,4.0,,20139.0,4.0,,20132.0
1061.0,Geneva County,AL,4.0,,16495.0,4.0,,16641.0,4.0,,16630.0
1063.0,Greene County,AL,4.0,,5195.0,4.0,,5278.0,4.0,,5376.0
1065.0,Hale County,AL,4.0,,9287.0,4.0,,9555.0,4.0,,9710.0
