FIPS,County,State,Postal,PrescribingRate_2014,PrescribingRate_2015,PrescribingRate_2016,PrescribingRate_2017,HasCountyRate_2014,HasCountyRate_2015,HasCountyRate_2016,HasCountyRate_2017
1001,Autauga,Alabama,AL,145.3,129.9,129.6,106.6,1,1,1,1
1003,Baldwin,Alabama,AL,143.5,132.1,123.8,106.7,1,1,1,1
1005,Barbour,Alabama,AL,102.0,93.3,92.7,90.7,1,1,1,1
1007,Bibb,Alabama,AL,75.8,69.4,97.2,80.6,1,1,1,1
1009,Blount,Alabama,AL,63.2,57.9,56.9,48.9,1,1,1,1
1011,Bullock,Alabama,AL,34.3,23.4,19.8,19.9,1,1,1,1
1013,Butler,Alabama,AL,145.0,140.5,135.4,118.6,1,1,1,1
1015,Calhoun,Alabama,AL,180.0,165.4,161.0,138.2,1,1,1,1
1017,Chambers,Alabama,AL,163.1,147.3,140.6,127.0,1,1,1,1
1019,Cherokee,Alabama,AL,175.1,169.2,157.7,128.3,1,1,1,1
1021,Chilton,Alabama,AL,132.1,120.6,120.4,107.0,1,1,1,1
1023,Choctaw,Alabama,AL,141.2,97.0,97.8,92.2,1,1,1,1
1025,Clarke,Alabama,AL,184.3,165.6,164.7,154.5,1,1,1,1
1027,Clay,Alabama,AL,150.6,139.7,133.7,112.2,1,1,1,1
1029,Cleburne,Alabama,AL,48.2,51.1,44.2,48.1,1,1,1,1
1031,Coffee,Alabama,AL,143.2,131.9,129.5,118.7,1,1,1,1
1033,Colbert,Alabama,AL,234.3,222.9,208.1,186.0,1,1,1,1
1035,Conecuh,Alabama,AL,154.4,102.8,93.9,84.9,1,1,1,1
1037,Coosa,Alabama,AL,35.7,26.8,25.4,24.3,1,1,1,1
1039,Covington,Alabama,AL,216.2,198.8,170.9,143.1,1,1,1,1
1041,Crenshaw,Alabama,AL,101.5,94.0,90.9,81.1,1,1,1,1
1043,Cullman,Alabama,AL,182.6,172.0,166.2,141.1,1,1,1,1
1045,Dale,Alabama,AL,71.5,63.8,78.7,69.6,1,1,1,1
1047,Dallas,Alabama,AL,123.3,115.7,117.8,102.6,1,1,1,1
1049,DeKalb,Alabama,AL,122.7,117.6,114.4,103.2,1,1,1,1
1051,Elmore,Alabama,AL,122.7,113.1,117.3,109.4,1,1,1,1
1053,Escambia,Alabama,AL,166.8,174.3,173.9,154.9,1,1,1,1
1055,Etowah,Alabama,AL,191.4,171.9,156.8,130.5,1,1,1,1
1057,Fayette,Alabama,AL,162.5,162.0,133.3,114.3,1,1,1,1
1059,Franklin,Alabama,AL,225.5,222.4,223.3,181.3,1,1,1,1
1061,Geneva,Alabama,AL,50.4,56.4,50.2,42.1,1,1,1,1
1063,Greene,Alabama,AL,98.6,78.7,79.8,53.9,1,1,1,1
1065,Hale,Alabama,AL,100.2,85.1,97.7,98.7,1,1,1,1
1067,Henry,Alabama,AL,37.3,49.2,30.7,26.7,1,1,1,1
1069,Houston,Alabama,AL,161.1,146.6,142.8,136.2,1,1,1,1
1071,Jackson,Alabama,AL,135.6,117.3,144.6,138.6,1,1,1,1
1073,Jefferson,Alabama,AL,130.2,123.4,116.7,104.2,1,1,1,1
1075,Lamar,Alabama,AL,105.8,107.9,104.7,75.4,1,1,1,1
1077,Lauderdale,Alabama,AL,151.0,140.2,127.5,104.7,1,1,1,1
1079,Lawrence,Alabama,AL,140.5,126.2,114.1,98.8,1,1,1,1
1081,Lee,Alabama,AL,70.0,63.2,64.5,58.5,1,1,1,1
1083,Limestone,Alabama,AL,79.1,70.2,76.5,68.3,1,1,1,1
1085,Lowndes,Alabama,AL,1.9,0.4,0.7,0.4,1,1,1,1
1087,Macon,Alabama,AL,67.2,62.3,60.1,44.6,1,1,1,1
1089,Madison,Alabama,AL,122.0,117.4,113.7,100.5,1,1,1,1
1091,Marengo,Alabama,AL,140.9,130.8,131.7,127.2,1,1,1,1
1093,Marion,Alabama,AL,207.3,192.9,182.1,162.1,1,1,1,1
1095,Marshall,Alabama,AL,221.2,200.4,191.1,163.9,1,1,1,1
1097,Mobile,Alabama,AL,158.5,143.0,133.5,118.4,1,1,1,1
1099,Monroe,Alabama,AL,143.8,134.5,135.7,123.4,1,1,1,1
1101,Montgomery,Alabama,AL,101.7,87.0,88.0,81.2,1,1,1,1
1103,Morgan,Alabama,AL,142.7,138.0,135.4,117.7,1,1,1,1
1105,Perry,Alabama,AL,5.2,4.0,3.6,3.6,1,1,1,1
1107,Pickens,Alabama,AL,124.7,98.9,81.5,70.1,1,1,1,1
1109,Pike,Alabama,AL,112.7,104.7,105.5,98.9,1,1,1,1
1111,Randolph,Alabama,AL,126.3,112.1,108.8,95.0,1,1,1,1
1113,Russell,Alabama,AL,128.9,117.9,110.6,103.4,1,1,1,1
1115,St. Clair,Alabama,AL,112.9,107.6,114.4,105.0,1,1,1,1
1117,Shelby,Alabama,AL,110.5,103.4,100.7,89.6,1,1,1,1
1119,Sumter,Alabama,AL,45.7,41.3,40.5,36.4,1,1,1,1
1121,Talladega,Alabama,AL,154.4,140.1,138.9,123.6,1,1,1,1
1123,Tallapoosa,Alabama,AL,109.8,103.1,108.0,98.3,1,1,1,1
1125,Tuscaloosa,Alabama,AL,116.7,114.0,111.2,99.9,1,1,1,1
1127,Walker,Alabama,AL,291.1,249.9,235.4,216.1,1,1,1,1
1129,Washington,Alabama,AL,36.8,37.8,44.3,52.4,1,1,1,1
1131,Wilcox,Alabama,AL,62.1,63.5,66.4,52.6,1,1,1,1
1133,Winston,Alabama,AL,179.6,169.3,172.5,155.1,1,1,1,1
2013,Aleutians East,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2016,Aleutians West,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2020,Anchorage,Alaska,AK,68.0,68.2,66.3,59.4,1,1,1,1
2050,Bethel,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2060,Bristol Bay,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2068,Denali,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2070,Dillingham,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2090,Fairbanks North Star,Alaska,AK,54.3,50.5,48.4,42.9,1,1,1,1
2100,Haines,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2105,Hoonah-Angoon,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2110,Juneau,Alaska,AK,87.6,81.3,79.8,65.7,1,1,1,1
2122,Kenai Peninsula,Alaska,AK,100.0,100.1,97.9,83.0,1,1,1,1
2130,Ketchikan Gateway,Alaska,AK,100.6,101.8,91.5,77.4,1,1,1,1
2150,Kodiak Island,Alaska,AK,38.6,34.2,33.6,28.9,1,1,1,1
2158,Kusilvak,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2164,Lake and Peninsula,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2170,Matanuska-Susitna,Alaska,AK,86.2,78.9,76.4,69.3,1,1,1,1
2180,Nome,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2185,North Slope,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2188,Northwest Arctic,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2195,Petersburg,Alaska,AK,92.2,80.3,71.0,63.0,1,1,1,1
2198,Prince of Wales-Hyder,Alaska,AK,59.0,63.9,56.4,38.9,1,1,1,1
2220,Sitka,Alaska,AK,14.1,10.5,9.5,7.2,1,1,1,1
2230,Skagway,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2240,Southeast Fairbanks,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2261,Valdez-Cordova,Alaska,AK,56.7,43.0,45.0,38.2,1,1,1,1
2275,Wrangell,Alaska,AK,0.4,0.4,0.6,0.2,1,1,1,1
2282,Yakutat,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
2290,Yukon-Koyukuk,Alaska,AK,62.7,60.8,58.9,52.0,0,0,0,0
4001,Apache,Arizona,AZ,21.5,18.8,18.5,18.6,1,1,1,1
4003,Cochise,Arizona,AZ,82.7,83.5,79.0,69.0,1,1,1,1
4005,Coconino,Arizona,AZ,60.4,56.2,51.4,42.4,1,1,1,1
4007,Gila,Arizona,AZ,124.3,116.3,110.0,88.0,1,1,1,1
