name,Address 1,Address 2,"City, State Zip",googleMapsUrl,state,postal,source,source_date,address,lat,lng,county,FIPS,FIPS County,FIPS State,County,State,Postal,CensusDivision
COMMUNITY CARE PHARMACY,149 IVY LANE,,"PARSONS, WV 26287",http://maps.google.com/maps?q=COMMUNITY%20CARE%20PHARMACY%2C149%20IVY%20LANE%2C+PARSONS%2C+WV+26287,WV,26287,DEA,Oct2018,"149 IVY LANE, PARSONS, WV 26287",39.09894,-79.6854337,Tucker,54093,93,54,Tucker,West Virginia,WV,South Atlantic
US ARMY- FT DETRICK HEALTH CLINIC,1434 PORTER STREET,FORT DETRICK,"FREDERICK, MD 21702",http://maps.google.com/maps?q=US%20ARMY%20FT%20DETRICK%20HEALTH%20CLINIC%2C1434%20PORTER%20STREET%2C+FREDERICK%2C+MD+21702,MD,21702,DEA,Oct2018,"1434 PORTER STREET, FORT DETRICK, FREDERICK, MD 21702",39.4404793,-77.4227338,Frederick,24021,21,24,Frederick,Maryland,MD,South Atlantic
EXPRESS PHARMACY,1690 OLD BRIDGE RD,,"WOODBRIDGE, VA 22192",http://maps.google.com/maps?q=EXPRESS%20PHARMACY%2C1690%20OLD%20BRIDGE%20RD%2C+WOODBRIDGE%2C+VA+22192,VA,22192,DEA,Oct2018,"1690 OLD BRIDGE RD, WOODBRIDGE, VA 22192",38.6747201,-77.266601,Prince William,51153,153,51,Prince William,Virginia,VA,South Atlantic
TRI-COUNTY PHARMACY,123 QUEENS ALLEY ROAD,,"ROCK CAVE, WV 26234",http://maps.google.com/maps?q=TRICOUNTY%20PHARMACY%2C123%20QUEENS%20ALLEY%20ROAD%2C+ROCK%20CAVE%2C+WV+26234,WV,26234,DEA,Oct2018,"123 QUEENS ALLEY ROAD, ROCK CAVE, WV 26234",38.8397264,-80.3436372,Upshur,54097,97,54,Upshur,West Virginia,WV,South Atlantic
WALGREEN CO.,618 FAIRVIEW ROAD,,"SIMPSONVILLE, SC 29680",http://maps.google.com/maps?q=WALGREEN%20CO%2C618%20FAIRVIEW%20ROAD%2C+SIMPSONVILLE%2C+SC+29680,SC,29680,DEA,Oct2018,"618 FAIRVIEW ROAD, SIMPSONVILLE, SC 29680",34.716822,-82.2592173,Greenville,45045,45,45,Greenville,South Carolina,SC,South Atlantic
U-SAVE-IT PHARMACY-PALMYRA,#2,2112 PALMYRA RD,"ALBANY, GA 31701",http://maps.google.com/maps?q=USAVEIT%20PHARMACYPALMYRA%2C#2%2C+ALBANY%2C+GA+31701,GA,31701,DEA,Oct2018,"#2, 2112 PALMYRA RD, ALBANY, GA 31701",31.6074963,-84.1746235,Dougherty,13095,95,13,Dougherty,Georgia,GA,South Atlantic
US ARMY- FOX HEALTH CENTER,GOSS ROAD,BUILDING 4100,"REDSTONE ARSENAL, AL 35809",http://maps.google.com/maps?q=US%20ARMY%20FOX%20HEALTH%20CENTER%2CGOSS%20ROAD%2C+REDSTONE%20ARSENAL%2C+AL+35809,AL,35809,DEA,Oct2018,"GOSS ROAD, BUILDING 4100, REDSTONE ARSENAL, AL 35809",34.6962055,-86.6623878,Madison,1089,89,1,Madison,Alabama,AL,East South Central
US ARMY- FT KNOX MAIN PX-PHARMACY,160 BINTER STREET,,"FORT KNOX, KY 40121",http://maps.google.com/maps?q=US%20ARMY%20FT%20KNOX%20MAIN%20PXPHARMACY%2C160%20BINTER%20STREET%2C+FORT%20KNOX%2C+KY+40121,KY,40121,DEA,Oct2018,"160 BINTER STREET, FORT KNOX, KY 40121",37.8865199,-85.9561777,Hardin,21093,93,21,Hardin,Kentucky,KY,East South Central
US ARMY- IRELAND COMMUNITY HOSP/PHARM,289 IRELAND AVE BLDG 851,,"FORT KNOX, KY 40121","https://www.google.com/maps/place/Ireland+Army+Community+Hospital:+Tadaki+Carl+J+MD/@37.9005666,-85.9448078,17z/data=!4m12!1m6!3m5!1s0x8868dff0747b715d:0xf3919e4efdb2719b!2sIreland+Army+Community+Hospital:+Tadaki+Carl+J+MD!8m2!3d37.9005666!4d-85.9426191!3m4!1s0x8868dff0747b715d:0xf3919e4efdb2719b!8m2!3d37.9005666!4d-85.9426191",KY,40121,DEA,Oct2018,"289 IRELAND AVE BLDG 851, FORT KNOX, KY 40121",37.9005666,-85.9448078,Hardin,21093,93,21,Hardin,Kentucky,KY,East South Central
THE PHARMACY @ HIMG,5170 U. S. ROUTE 60 EAST STE 150,,"HUNTINGTON, WV 25705",http://maps.google.com/maps?q=THE%20PHARMACY%20%20HIMG%2C5170%20U.%20S.%20ROUTE%2060%20EAST%20STE%20150%2C+HUNTINGTON%2C+WV+25705,WV,25705,DEA,Oct2018,"5170 U. S. ROUTE 60 EAST STE 150, HUNTINGTON, WV 25705",38.4147749,-82.3462548,Cabell,54011,11,54,Cabell,West Virginia,WV,South Atlantic
"HIGHLAND PARK CVS, L.L.C.",1101 S WATER ST,,"WILMINGTON, IL 60481",http://maps.google.com/maps?q=HIGHLAND%20PARK%20CVS%20LLC%2C1101%20S%20WATER%20ST%2C+WILMINGTON%2C+IL+60481,IL,60481,DEA,Oct2018,"1101 S WATER ST, WILMINGTON, IL 60481",41.2965513,-88.1397076,Will,17197,197,17,Will,Illinois,IL,East North Central
